地名,センター,可燃,缶・ビン,プラスチック,小型破砕,ペットボトル,白色トレー,大型資源,乾電池類
上町,鳥取県東部環境クリーンセンター,月 木,月1 月2 月4 月5,火1 火2 火4,月3,金1,木1,木4,水4:4
中町,鳥取県東部環境クリーンセンター,月 木,月1 月2 月4 月5,火1 火2 火4,月3,金1,木1,木4,水4:4
下町,鳥取県東部環境クリーンセンター,月 木,月1 月2 月4 月5,火1 火2 火4,月3,金1,木1,木4,水4:4
錦町,鳥取県東部環境クリーンセンター,月 木,月1 月2 月4 月5,火1 火2 火4,月3,金1,木1,木4,水4:4
関屋,鳥取県東部環境クリーンセンター,月 木,月1 月2 月4 月5,火1 火2 火4,月3,金1,木1,木4,水4:4
湯屋,鳥取県東部環境クリーンセンター,月 木,月1 月2 月4 月5,火1 火2 火4,月3,金1,木1,木4,水4:4
鳥巣,鳥取県東部環境クリーンセンター,月 木,月1 月2 月4 月5,火1 火2 火4,月3,金1,木1,木4,水4:4
中島,鳥取県東部環境クリーンセンター,月 木,月1 月2 月4 月5,火1 火2 火4,月3,金1,木1,木4,水4:4
市瀬,鳥取県東部環境クリーンセンター,月 木,月1 月2 月4 月5,火1 火2 火4,月3,金1,木1,木4,水4:4
板井原,鳥取県東部環境クリーンセンター,月 木,月1 月2 月4 月5,火1 火2 火4,月3,金1,木1,木4,水4:4
沖代,鳥取県東部環境クリーンセンター,月 木,月1 月2 月4 月5,火1 火2 火4,月3,金2,金1,月4,月4:4
奈留,鳥取県東部環境クリーンセンター,月 木,月1 月2 月4 月5,火1 火2 火4,月3,金2,金1,月4,月4:4
米井,鳥取県東部環境クリーンセンター,月 木,月1 月2 月4 月5,火1 火2 火4,月3,金2,金1,月4,月4:4
本折,鳥取県東部環境クリーンセンター,月 木,金1 金2 金4,水1 水2 水4,木3,金4,木2,木3,木3:4
久志谷,鳥取県東部環境クリーンセンター,火 金,月1 月2 月4 月5,火1 火2 火4,月3,金2,金1,水4,火4:4
河原町1丁目,鳥取県東部環境クリーンセンター,火 金,月1 月2 月4 月5,火1 火2 火4,月3,金2,金1,水4,火4:4
河原町2丁目,鳥取県東部環境クリーンセンター,火 金,月1 月2 月4 月5,火1 火2 火4,月3,金2,金1,水4,火4:4
河原町3丁目,鳥取県東部環境クリーンセンター,火 金,月1 月2 月4 月5,火1 火2 火4,月3,金1,木1,月5,木4:4
河原町4丁目,鳥取県東部環境クリーンセンター,火 金,月1 月2 月4 月5,火1 火2 火4,月3,金1,木1,月5,木4:4
段,鳥取県東部環境クリーンセンター,火 金,月1 月2 月4 月5,火1 火2 火4,月3,金1,木1,月5,木4:4
上段,鳥取県東部環境クリーンセンター,火 金,月1 月2 月4 月5,火1 火2 火4,月3,金1,木1,月5,木4:4
緑ヶ丘,鳥取県東部環境クリーンセンター,火 金,月1 月2 月4 月5,火1 火2 火4,月3,金1,木1,月5,木4:4
青山台,鳥取県東部環境クリーンセンター,火 金,月1 月2 月4 月5,火1 火2 火4,月3,金1,木1,月5,木4:4
岩神,鳥取県東部環境クリーンセンター,火 金,月1 月2 月4 月5,火1 火2 火4,月3,金1,木1,月5,木4:4
杉の香団地,鳥取県東部環境クリーンセンター,火 金,月1 月2 月4 月5,火1 火2 火4,月3,金1,木1,月5,木4:4
駅南団地,鳥取県東部環境クリーンセンター,火 金,月1 月2 月4 月5,火1 火2 火4,月3,金1,木1,月5,木4:4
八河谷,鳥取県東部環境クリーンセンター,火 金,月1 月2 月4 月5,火1 火2 火4,月3,金2,金1,月4,月4:4
芦津,鳥取県東部環境クリーンセンター,火 金,月1 月2 月4 月5,火1 火2 火4,月3,金2,金1,月4,月4:4
大呂,鳥取県東部環境クリーンセンター,火 金,月1 月2 月4 月5,火1 火2 火4,月3,金2,金1,月4,月4:4
池本,鳥取県東部環境クリーンセンター,火 金,月1 月2 月4 月5,火1 火2 火4,月3,金2,金1,月4,月4:4
中島,鳥取県東部環境クリーンセンター,火 金,月1 月2 月4 月5,火1 火2 火4,月3,金2,金1,月4,月4:4
浅見,鳥取県東部環境クリーンセンター,火 金,月1 月2 月4 月5,火1 火2 火4,月3,金2,金1,月4,月4:4
西野,鳥取県東部環境クリーンセンター,火 金,月1 月2 月4 月5,火1 火2 火4,月3,金2,金1,月4,月4:4
米原,鳥取県東部環境クリーンセンター,火 金,月1 月2 月4 月5,火1 火2 火4,月3,金2,金1,月4,月4:4
郷原,鳥取県東部環境クリーンセンター,火 金,月1 月2 月4 月5,火1 火2 火4,月3,金2,金1,月4,月4:4
篠坂,鳥取県東部環境クリーンセンター,火 金,月1 月2 月4 月5,火1 火2 火4,月3,金2,金1,月4,月4:4
下毛谷,鳥取県東部環境クリーンセンター,火 金,月1 月2 月4 月5,火1 火2 火4,月3,金2,金1,月4,月4:4
山郷地区,鳥取県東部環境クリーンセンター,火 金,金1 金2 金4,水1 水2 水4,木3,金4,木2,木3,木3:4
大内,鳥取県東部環境クリーンセンター,火 金,金1 金2 金4,水1 水2 水4,木3,金4,木2,木3,木3:4
上毛谷,鳥取県東部環境クリーンセンター,火 金,金1 金2 金4,水1 水2 水4,木3,金4,木2,木3,木3:4
那岐地区,鳥取県東部環境クリーンセンター,月 木,金1 金2 金4,水1 水2 水4,木3,金4,木2,水3,水3:4
土師地区,鳥取県東部環境クリーンセンター,月 木,月1 月2 月4 月5,火1 火2 火4,月3,金2,金1,水4,火4:4
富沢地区(岩神を除く),鳥取県東部環境クリーンセンター,月 木,月1 月2 月4 月5,火1 火2 火4,月3,金1,木1,月5,木4:4
